AllDates,Time,Year
11-Feb-85,0.112,1985
19-Feb-85,0.134,1985
27-Feb-85,0.156,1985
07-Mar-85,0.178,1985
15-Mar-85,0.2,1985
23-Mar-85,0.222,1985
31-Mar-85,0.244,1985
08-Apr-85,0.266,1985
16-Apr-85,0.287,1985
24-Apr-85,0.309,1985
02-May-85,0.331,1985
10-May-85,0.353,1985
18-May-85,0.375,1985
26-May-85,0.397,1985
03-Jun-85,0.419,1985
11-Jun-85,0.441,1985
19-Jun-85,0.463,1985
27-Jun-85,0.485,1985
05-Jul-85,0.507,1985
13-Jul-85,0.528,1985
21-Jul-85,0.55,1985
29-Jul-85,0.572,1985
06-Aug-85,0.594,1985
14-Aug-85,0.616,1985
22-Aug-85,0.638,1985
30-Aug-85,0.66,1985
07-Sep-85,0.682,1985
15-Sep-85,0.704,1985
23-Sep-85,0.726,1985
01-Oct-85,0.747,1985
09-Oct-85,0.769,1985
17-Oct-85,0.791,1985
25-Oct-85,0.813,1985
02-Nov-85,0.835,1985
10-Nov-85,0.857,1985
18-Nov-85,0.879,1985
26-Nov-85,0.901,1985
04-Dec-85,0.923,1985
12-Dec-85,0.945,1985
20-Dec-85,0.966,1985
28-Dec-85,0.988,1985
05-Jan-86,1.01,1986
13-Jan-86,1.032,1986
21-Jan-86,1.054,1986
29-Jan-86,1.076,1986
06-Feb-86,1.098,1986
14-Feb-86,1.12,1986
22-Feb-86,1.142,1986
02-Mar-86,1.164,1986
10-Mar-86,1.185,1986
18-Mar-86,1.207,1986
26-Mar-86,1.229,1986
03-Apr-86,1.251,1986
11-Apr-86,1.273,1986
19-Apr-86,1.295,1986
27-Apr-86,1.317,1986
05-May-86,1.339,1986
13-May-86,1.361,1986
21-May-86,1.383,1986
29-May-86,1.405,1986
06-Jun-86,1.426,1986
14-Jun-86,1.448,1986
22-Jun-86,1.47,1986
30-Jun-86,1.492,1986
08-Jul-86,1.514,1986
16-Jul-86,1.536,1986
24-Jul-86,1.558,1986
01-Aug-86,1.58,1986
09-Aug-86,1.602,1986
17-Aug-86,1.624,1986
25-Aug-86,1.645,1986
02-Sep-86,1.667,1986
10-Sep-86,1.689,1986
18-Sep-86,1.711,1986
26-Sep-86,1.733,1986
04-Oct-86,1.755,1986
12-Oct-86,1.777,1986
20-Oct-86,1.799,1986
28-Oct-86,1.821,1986
05-Nov-86,1.843,1986
13-Nov-86,1.864,1986
21-Nov-86,1.886,1986
29-Nov-86,1.908,1986
07-Dec-86,1.93,1986
15-Dec-86,1.952,1986
23-Dec-86,1.974,1986
31-Dec-86,1.996,1986
08-Jan-87,2.018,1987
16-Jan-87,2.04,1987
24-Jan-87,2.062,1987
01-Feb-87,2.084,1987
09-Feb-87,2.105,1987
17-Feb-87,2.127,1987
25-Feb-87,2.149,1987
05-Mar-87,2.171,1987
13-Mar-87,2.193,1987
21-Mar-87,2.215,1987
29-Mar-87,2.237,1987
06-Apr-87,2.259,1987
14-Apr-87,2.281,1987
22-Apr-87,2.303,1987
30-Apr-87,2.324,1987
08-May-87,2.346,1987
16-May-87,2.368,1987
24-May-87,2.39,1987
01-Jun-87,2.412,1987
09-Jun-87,2.434,1987
17-Jun-87,2.456,1987
25-Jun-87,2.478,1987
03-Jul-87,2.5,1987
11-Jul-87,2.522,1987
19-Jul-87,2.543,1987
27-Jul-87,2.565,1987
04-Aug-87,2.587,1987
12-Aug-87,2.609,1987
20-Aug-87,2.631,1987
28-Aug-87,2.653,1987
05-Sep-87,2.675,1987
13-Sep-87,2.697,1987
21-Sep-87,2.719,1987
29-Sep-87,2.741,1987
07-Oct-87,2.762,1987
15-Oct-87,2.784,1987
23-Oct-87,2.806,1987
31-Oct-87,2.828,1987
08-Nov-87,2.85,1987
16-Nov-87,2.872,1987
24-Nov-87,2.894,1987
02-Dec-87,2.916,1987
10-Dec-87,2.938,1987
18-Dec-87,2.96,1987
26-Dec-87,2.982,1987
03-Jan-88,3.003,1988
11-Jan-88,3.025,1988
19-Jan-88,3.047,1988
27-Jan-88,3.069,1988
04-Feb-88,3.091,1988
12-Feb-88,3.113,1988
20-Feb-88,3.135,1988
28-Feb-88,3.157,1988
07-Mar-88,3.179,1988
15-Mar-88,3.201,1988
23-Mar-88,3.222,1988
31-Mar-88,3.244,1988
08-Apr-88,3.266,1988
16-Apr-88,3.288,1988
24-Apr-88,3.31,1988
02-May-88,3.332,1988
10-May-88,3.354,1988
18-May-88,3.376,1988
26-May-88,3.398,1988
03-Jun-88,3.42,1988
11-Jun-88,3.441,1988
19-Jun-88,3.463,1988
27-Jun-88,3.485,1988
05-Jul-88,3.507,1988
13-Jul-88,3.529,1988
21-Jul-88,3.551,1988
29-Jul-88,3.573,1988
06-Aug-88,3.595,1988
14-Aug-88,3.617,1988
22-Aug-88,3.639,1988
30-Aug-88,3.661,1988
07-Sep-88,3.682,1988
15-Sep-88,3.704,1988
23-Sep-88,3.726,1988
01-Oct-88,3.748,1988
09-Oct-88,3.77,1988
17-Oct-88,3.792,1988
25-Oct-88,3.814,1988
02-Nov-88,3.836,1988
10-Nov-88,3.858,1988
18-Nov-88,3.88,1988
26-Nov-88,3.901,1988
04-Dec-88,3.923,1988
12-Dec-88,3.945,1988
20-Dec-88,3.967,1988
28-Dec-88,3.989,1988
05-Jan-89,4.011,1989
13-Jan-89,4.033,1989
21-Jan-89,4.055,1989
29-Jan-89,4.077,1989
06-Feb-89,4.099,1989
14-Feb-89,4.12,1989
22-Feb-89,4.142,1989
02-Mar-89,4.164,1989
10-Mar-89,4.186,1989
18-Mar-89,4.208,1989
26-Mar-89,4.23,1989
03-Apr-89,4.252,1989
11-Apr-89,4.274,1989
19-Apr-89,4.296,1989
27-Apr-89,4.318,1989
05-May-89,4.339,1989
