Vegetation,Day,Month,Year,Date,Time,NDVI,CleanedNDVI(>0.15)
WetHeath,11,Feb,1985,11/02/1985,0.112251882,NA,NA
Sphagnum,11,Feb,1985,11/02/1985,0.112251882,NA,NA
Rumex,11,Feb,1985,11/02/1985,0.112251882,NA,NA
RichAgrostisFestuca,11,Feb,1985,11/02/1985,0.112251882,NA,NA
PoorAgrostisFestuca,11,Feb,1985,11/02/1985,0.112251882,NA,NA
Plantago,11,Feb,1985,11/02/1985,0.112251882,NA,NA
NardusRacomitrium,11,Feb,1985,11/02/1985,0.112251882,NA,NA
NardusJuncus,11,Feb,1985,11/02/1985,0.112251882,NA,NA
Molinia,11,Feb,1985,11/02/1985,0.112251882,NA,NA
Luzula,11,Feb,1985,11/02/1985,0.112251882,NA,NA
Lair,11,Feb,1985,11/02/1985,0.112251882,NA,NA
HolcusPoa,11,Feb,1985,11/02/1985,0.112251882,NA,NA
Holcus,11,Feb,1985,11/02/1985,0.112251882,NA,NA
HolcusAgrostisSphagnum,11,Feb,1985,11/02/1985,0.112251882,NA,NA
HolcusAgrostis,11,Feb,1985,11/02/1985,0.112251882,NA,NA
FestucaRubra,11,Feb,1985,11/02/1985,0.112251882,NA,NA
Eriophorum,11,Feb,1985,11/02/1985,0.112251882,NA,NA
DryHeath,11,Feb,1985,11/02/1985,0.112251882,NA,NA
Cliff,11,Feb,1985,11/02/1985,0.112251882,NA,NA
AgFesMol,11,Feb,1985,11/02/1985,0.112251882,NA,NA
Holcus,27,Feb,1985,27/02/1985,0.156057495,-0.047,NA
Cliff,27,Feb,1985,27/02/1985,0.156057495,-0.012,NA
AgFesMol,27,Feb,1985,27/02/1985,0.156057495,-0.011,NA
PoorAgrostisFestuca,27,Feb,1985,27/02/1985,0.156057495,-0.007,NA
Luzula,27,Feb,1985,27/02/1985,0.156057495,-0.006,NA
HolcusPoa,27,Feb,1985,27/02/1985,0.156057495,-0.004,NA
NardusRacomitrium,27,Feb,1985,27/02/1985,0.156057495,0.001,NA
Plantago,27,Feb,1985,27/02/1985,0.156057495,0.003,NA
Eriophorum,27,Feb,1985,27/02/1985,0.156057495,0.014,NA
Molinia,27,Feb,1985,27/02/1985,0.156057495,0.025,NA
DryHeath,27,Feb,1985,27/02/1985,0.156057495,0.028,NA
HolcusAgrostisSphagnum,27,Feb,1985,27/02/1985,0.156057495,0.03,NA
Sphagnum,27,Feb,1985,27/02/1985,0.156057495,0.033,NA
Rumex,27,Feb,1985,27/02/1985,0.156057495,0.048,NA
Lair,27,Feb,1985,27/02/1985,0.156057495,0.048,NA
HolcusAgrostis,27,Feb,1985,27/02/1985,0.156057495,0.049,NA
WetHeath,27,Feb,1985,27/02/1985,0.156057495,0.058,NA
FestucaRubra,27,Feb,1985,27/02/1985,0.156057495,0.062,NA
RichAgrostisFestuca,27,Feb,1985,27/02/1985,0.156057495,NA,NA
NardusJuncus,27,Feb,1985,27/02/1985,0.156057495,NA,NA
NardusRacomitrium,15,Mar,1985,15/03/1985,0.199863107,0.017,NA
Eriophorum,15,Mar,1985,15/03/1985,0.199863107,0.021,NA
Luzula,15,Mar,1985,15/03/1985,0.199863107,0.026,NA
HolcusAgrostisSphagnum,15,Mar,1985,15/03/1985,0.199863107,0.027,NA
NardusJuncus,15,Mar,1985,15/03/1985,0.199863107,0.028,NA
Sphagnum,15,Mar,1985,15/03/1985,0.199863107,0.03,NA
PoorAgrostisFestuca,15,Mar,1985,15/03/1985,0.199863107,0.032,NA
Cliff,15,Mar,1985,15/03/1985,0.199863107,0.034,NA
DryHeath,15,Mar,1985,15/03/1985,0.199863107,0.035,NA
HolcusPoa,15,Mar,1985,15/03/1985,0.199863107,0.036,NA
WetHeath,15,Mar,1985,15/03/1985,0.199863107,0.038,NA
Molinia,15,Mar,1985,15/03/1985,0.199863107,0.041,NA
Holcus,15,Mar,1985,15/03/1985,0.199863107,0.042,NA
Rumex,15,Mar,1985,15/03/1985,0.199863107,0.045,NA
Lair,15,Mar,1985,15/03/1985,0.199863107,0.045,NA
FestucaRubra,15,Mar,1985,15/03/1985,0.199863107,0.05,NA
Plantago,15,Mar,1985,15/03/1985,0.199863107,0.055,NA
RichAgrostisFestuca,15,Mar,1985,15/03/1985,0.199863107,0.059,NA
AgFesMol,15,Mar,1985,15/03/1985,0.199863107,0.073,NA
HolcusAgrostis,15,Mar,1985,15/03/1985,0.199863107,0.084,NA
NardusJuncus,25,May,1985,25/05/1985,0.394250513,0.447,0.447
Rumex,25,May,1985,25/05/1985,0.394250513,0.452,0.452
NardusRacomitrium,25,May,1985,25/05/1985,0.394250513,0.454,0.454
Cliff,25,May,1985,25/05/1985,0.394250513,0.488,0.488
Eriophorum,25,May,1985,25/05/1985,0.394250513,0.498,0.498
WetHeath,25,May,1985,25/05/1985,0.394250513,0.499,0.499
Molinia,25,May,1985,25/05/1985,0.394250513,0.516,0.516
Sphagnum,25,May,1985,25/05/1985,0.394250513,0.527,0.527
PoorAgrostisFestuca,25,May,1985,25/05/1985,0.394250513,0.539,0.539
DryHeath,25,May,1985,25/05/1985,0.394250513,0.539,0.539
Luzula,25,May,1985,25/05/1985,0.394250513,0.54,0.54
Holcus,25,May,1985,25/05/1985,0.394250513,0.551,0.551
AgFesMol,25,May,1985,25/05/1985,0.394250513,0.557,0.557
RichAgrostisFestuca,25,May,1985,25/05/1985,0.394250513,0.566,0.566
HolcusAgrostisSphagnum,25,May,1985,25/05/1985,0.394250513,0.578,0.578
HolcusPoa,25,May,1985,25/05/1985,0.394250513,0.591,0.591
FestucaRubra,25,May,1985,25/05/1985,0.394250513,0.608,0.608
Plantago,25,May,1985,25/05/1985,0.394250513,0.609,0.609
Lair,25,May,1985,25/05/1985,0.394250513,0.632,0.632
HolcusAgrostis,25,May,1985,25/05/1985,0.394250513,0.634,0.634
WetHeath,3,Jun,1985,03/06/1985,0.41889117,NA,NA
Sphagnum,3,Jun,1985,03/06/1985,0.41889117,NA,NA
Rumex,3,Jun,1985,03/06/1985,0.41889117,NA,NA
RichAgrostisFestuca,3,Jun,1985,03/06/1985,0.41889117,NA,NA
PoorAgrostisFestuca,3,Jun,1985,03/06/1985,0.41889117,NA,NA
Plantago,3,Jun,1985,03/06/1985,0.41889117,NA,NA
NardusRacomitrium,3,Jun,1985,03/06/1985,0.41889117,NA,NA
NardusJuncus,3,Jun,1985,03/06/1985,0.41889117,NA,NA
Molinia,3,Jun,1985,03/06/1985,0.41889117,NA,NA
Luzula,3,Jun,1985,03/06/1985,0.41889117,NA,NA
Lair,3,Jun,1985,03/06/1985,0.41889117,NA,NA
HolcusPoa,3,Jun,1985,03/06/1985,0.41889117,NA,NA
Holcus,3,Jun,1985,03/06/1985,0.41889117,NA,NA
HolcusAgrostisSphagnum,3,Jun,1985,03/06/1985,0.41889117,NA,NA
HolcusAgrostis,3,Jun,1985,03/06/1985,0.41889117,NA,NA
FestucaRubra,3,Jun,1985,03/06/1985,0.41889117,NA,NA
Eriophorum,3,Jun,1985,03/06/1985,0.41889117,NA,NA
DryHeath,3,Jun,1985,03/06/1985,0.41889117,NA,NA
Cliff,3,Jun,1985,03/06/1985,0.41889117,NA,NA
AgFesMol,3,Jun,1985,03/06/1985,0.41889117,NA,NA
Rumex,19,Jun,1985,19/06/1985,0.462696783,0.38,0.38
NardusRacomitrium,19,Jun,1985,19/06/1985,0.462696783,0.471,0.471
Cliff,19,Jun,1985,19/06/1985,0.462696783,0.485,0.485
WetHeath,19,Jun,1985,19/06/1985,0.462696783,0.486,0.486
HolcusPoa,19,Jun,1985,19/06/1985,0.462696783,0.518,0.518
Eriophorum,19,Jun,1985,19/06/1985,0.462696783,0.521,0.521
DryHeath,19,Jun,1985,19/06/1985,0.462696783,0.527,0.527
Molinia,19,Jun,1985,19/06/1985,0.462696783,0.536,0.536
RichAgrostisFestuca,19,Jun,1985,19/06/1985,0.462696783,0.537,0.537
AgFesMol,19,Jun,1985,19/06/1985,0.462696783,0.539,0.539
PoorAgrostisFestuca,19,Jun,1985,19/06/1985,0.462696783,0.547,0.547
Holcus,19,Jun,1985,19/06/1985,0.462696783,0.549,0.549
Sphagnum,19,Jun,1985,19/06/1985,0.462696783,0.556,0.556
HolcusAgrostisSphagnum,19,Jun,1985,19/06/1985,0.462696783,0.559,0.559
Luzula,19,Jun,1985,19/06/1985,0.462696783,0.56,0.56
FestucaRubra,19,Jun,1985,19/06/1985,0.462696783,0.58,0.58
Plantago,19,Jun,1985,19/06/1985,0.462696783,0.582,0.582
Lair,19,Jun,1985,19/06/1985,0.462696783,0.606,0.606
HolcusAgrostis,19,Jun,1985,19/06/1985,0.462696783,0.611,0.611
NardusJuncus,19,Jun,1985,19/06/1985,0.462696783,NA,NA
NardusJuncus,22,Aug,1985,22/08/1985,0.637919233,0.553,0.553
Cliff,22,Aug,1985,22/08/1985,0.637919233,0.564,0.564
NardusRacomitrium,22,Aug,1985,22/08/1985,0.637919233,0.569,0.569
Rumex,22,Aug,1985,22/08/1985,0.637919233,0.577,0.577
HolcusPoa,22,Aug,1985,22/08/1985,0.637919233,0.599,0.599
WetHeath,22,Aug,1985,22/08/1985,0.637919233,0.602,0.602
HolcusAgrostis,22,Aug,1985,22/08/1985,0.637919233,0.61,0.61
RichAgrostisFestuca,22,Aug,1985,22/08/1985,0.637919233,0.612,0.612
AgFesMol,22,Aug,1985,22/08/1985,0.637919233,0.619,0.619
PoorAgrostisFestuca,22,Aug,1985,22/08/1985,0.637919233,0.625,0.625
DryHeath,22,Aug,1985,22/08/1985,0.637919233,0.626,0.626
Eriophorum,22,Aug,1985,22/08/1985,0.637919233,0.633,0.633
Luzula,22,Aug,1985,22/08/1985,0.637919233,0.635,0.635
Holcus,22,Aug,1985,22/08/1985,0.637919233,0.635,0.635
FestucaRubra,22,Aug,1985,22/08/1985,0.637919233,0.642,0.642
Sphagnum,22,Aug,1985,22/08/1985,0.637919233,0.644,0.644
Plantago,22,Aug,1985,22/08/1985,0.637919233,0.647,0.647
Molinia,22,Aug,1985,22/08/1985,0.637919233,0.651,0.651
HolcusAgrostisSphagnum,22,Aug,1985,22/08/1985,0.637919233,0.651,0.651
Lair,22,Aug,1985,22/08/1985,0.637919233,0.696,0.696
Eriophorum,9,Oct,1985,09/10/1985,0.769336071,-0.013,NA
DryHeath,9,Oct,1985,09/10/1985,0.769336071,-0.009,NA
Molinia,9,Oct,1985,09/10/1985,0.769336071,-0.008,NA
Sphagnum,9,Oct,1985,09/10/1985,0.769336071,-0.004,NA
NardusRacomitrium,9,Oct,1985,09/10/1985,0.769336071,0.004,NA
WetHeath,9,Oct,1985,09/10/1985,0.769336071,0.009,NA
Luzula,9,Oct,1985,09/10/1985,0.769336071,0.011,NA
AgFesMol,9,Oct,1985,09/10/1985,0.769336071,0.014,NA
RichAgrostisFestuca,9,Oct,1985,09/10/1985,0.769336071,0.015,NA
Holcus,9,Oct,1985,09/10/1985,0.769336071,0.016,NA
Cliff,9,Oct,1985,09/10/1985,0.769336071,0.019,NA
PoorAgrostisFestuca,9,Oct,1985,09/10/1985,0.769336071,0.033,NA
HolcusAgrostisSphagnum,9,Oct,1985,09/10/1985,0.769336071,0.041,NA
Rumex,9,Oct,1985,09/10/1985,0.769336071,0.052,NA
FestucaRubra,9,Oct,1985,09/10/1985,0.769336071,0.093,NA
Plantago,9,Oct,1985,09/10/1985,0.769336071,0.109,NA
HolcusPoa,9,Oct,1985,09/10/1985,0.769336071,0.113,NA
HolcusAgrostis,9,Oct,1985,09/10/1985,0.769336071,0.117,NA
Lair,9,Oct,1985,09/10/1985,0.769336071,0.214,0.214
NardusJuncus,9,Oct,1985,09/10/1985,0.769336071,NA,NA
NardusJuncus,14,Feb,1986,14/02/1986,1.119780972,0.264,0.264
AgFesMol,14,Feb,1986,14/02/1986,1.119780972,0.269,0.269
PoorAgrostisFestuca,14,Feb,1986,14/02/1986,1.119780972,0.279,0.279
NardusRacomitrium,14,Feb,1986,14/02/1986,1.119780972,0.288,0.288
Eriophorum,14,Feb,1986,14/02/1986,1.119780972,0.291,0.291
Rumex,14,Feb,1986,14/02/1986,1.119780972,0.294,0.294
HolcusPoa,14,Feb,1986,14/02/1986,1.119780972,0.3,0.3
Sphagnum,14,Feb,1986,14/02/1986,1.119780972,0.301,0.301
Plantago,14,Feb,1986,14/02/1986,1.119780972,0.303,0.303
Cliff,14,Feb,1986,14/02/1986,1.119780972,0.309,0.309
Molinia,14,Feb,1986,14/02/1986,1.119780972,0.321,0.321
Lair,14,Feb,1986,14/02/1986,1.119780972,0.321,0.321
HolcusAgrostisSphagnum,14,Feb,1986,14/02/1986,1.119780972,0.328,0.328
FestucaRubra,14,Feb,1986,14/02/1986,1.119780972,0.338,0.338
HolcusAgrostis,14,Feb,1986,14/02/1986,1.119780972,0.339,0.339
RichAgrostisFestuca,14,Feb,1986,14/02/1986,1.119780972,0.354,0.354
Luzula,14,Feb,1986,14/02/1986,1.119780972,0.356,0.356
Holcus,14,Feb,1986,14/02/1986,1.119780972,0.356,0.356
WetHeath,14,Feb,1986,14/02/1986,1.119780972,0.357,0.357
DryHeath,14,Feb,1986,14/02/1986,1.119780972,0.395,0.395
Lair,2,Mar,1986,02/03/1986,1.163586585,0.118,NA
Holcus,2,Mar,1986,02/03/1986,1.163586585,0.119,NA
HolcusPoa,2,Mar,1986,02/03/1986,1.163586585,0.154,0.154
FestucaRubra,2,Mar,1986,02/03/1986,1.163586585,0.156,0.156
Plantago,2,Mar,1986,02/03/1986,1.163586585,0.162,0.162
HolcusAgrostis,2,Mar,1986,02/03/1986,1.163586585,0.166,0.166
Sphagnum,2,Mar,1986,02/03/1986,1.163586585,0.167,0.167
HolcusAgrostisSphagnum,2,Mar,1986,02/03/1986,1.163586585,0.189,0.189
Eriophorum,2,Mar,1986,02/03/1986,1.163586585,0.203,0.203
PoorAgrostisFestuca,2,Mar,1986,02/03/1986,1.163586585,0.204,0.204
NardusRacomitrium,2,Mar,1986,02/03/1986,1.163586585,0.215,0.215
Rumex,2,Mar,1986,02/03/1986,1.163586585,0.231,0.231
RichAgrostisFestuca,2,Mar,1986,02/03/1986,1.163586585,0.247,0.247
AgFesMol,2,Mar,1986,02/03/1986,1.163586585,0.257,0.257
Cliff,2,Mar,1986,02/03/1986,1.163586585,0.258,0.258
Luzula,2,Mar,1986,02/03/1986,1.163586585,0.29,0.29
WetHeath,2,Mar,1986,02/03/1986,1.163586585,0.302,0.302
Molinia,2,Mar,1986,02/03/1986,1.163586585,0.302,0.302
DryHeath,2,Mar,1986,02/03/1986,1.163586585,0.316,0.316
NardusJuncus,2,Mar,1986,02/03/1986,1.163586585,NA,NA
Cliff,18,Mar,1986,18/03/1986,1.207392197,0.287,0.287
HolcusPoa,18,Mar,1986,18/03/1986,1.207392197,0.288,0.288
Rumex,18,Mar,1986,18/03/1986,1.207392197,0.294,0.294
PoorAgrostisFestuca,18,Mar,1986,18/03/1986,1.207392197,0.311,0.311
Holcus,18,Mar,1986,18/03/1986,1.207392197,0.319,0.319
NardusRacomitrium,18,Mar,1986,18/03/1986,1.207392197,0.326,0.326
NardusJuncus,18,Mar,1986,18/03/1986,1.207392197,0.334,0.334
Sphagnum,18,Mar,1986,18/03/1986,1.207392197,0.335,0.335
Molinia,18,Mar,1986,18/03/1986,1.207392197,0.335,0.335
Eriophorum,18,Mar,1986,18/03/1986,1.207392197,0.335,0.335
AgFesMol,18,Mar,1986,18/03/1986,1.207392197,0.337,0.337
Plantago,18,Mar,1986,18/03/1986,1.207392197,0.344,0.344
FestucaRubra,18,Mar,1986,18/03/1986,1.207392197,0.348,0.348
WetHeath,18,Mar,1986,18/03/1986,1.207392197,0.361,0.361
Lair,18,Mar,1986,18/03/1986,1.207392197,0.365,0.365
Luzula,18,Mar,1986,18/03/1986,1.207392197,0.367,0.367
RichAgrostisFestuca,18,Mar,1986,18/03/1986,1.207392197,0.369,0.369
HolcusAgrostisSphagnum,18,Mar,1986,18/03/1986,1.207392197,0.374,0.374
DryHeath,18,Mar,1986,18/03/1986,1.207392197,0.386,0.386
HolcusAgrostis,18,Mar,1986,18/03/1986,1.207392197,0.402,0.402
NardusJuncus,22,Jun,1986,22/06/1986,1.470225873,0.495,0.495
NardusRacomitrium,22,Jun,1986,22/06/1986,1.470225873,0.516,0.516
WetHeath,22,Jun,1986,22/06/1986,1.470225873,0.571,0.571
Cliff,22,Jun,1986,22/06/1986,1.470225873,0.576,0.576
DryHeath,22,Jun,1986,22/06/1986,1.470225873,0.604,0.604
Eriophorum,22,Jun,1986,22/06/1986,1.470225873,0.615,0.615
Molinia,22,Jun,1986,22/06/1986,1.470225873,0.625,0.625
Rumex,22,Jun,1986,22/06/1986,1.470225873,0.65,0.65
RichAgrostisFestuca,22,Jun,1986,22/06/1986,1.470225873,0.65,0.65
PoorAgrostisFestuca,22,Jun,1986,22/06/1986,1.470225873,0.651,0.651
Sphagnum,22,Jun,1986,22/06/1986,1.470225873,0.654,0.654
Holcus,22,Jun,1986,22/06/1986,1.470225873,0.673,0.673
HolcusAgrostisSphagnum,22,Jun,1986,22/06/1986,1.470225873,0.674,0.674
FestucaRubra,22,Jun,1986,22/06/1986,1.470225873,0.68,0.68
Luzula,22,Jun,1986,22/06/1986,1.470225873,0.685,0.685
Plantago,22,Jun,1986,22/06/1986,1.470225873,0.687,0.687
AgFesMol,22,Jun,1986,22/06/1986,1.470225873,0.694,0.694
HolcusPoa,22,Jun,1986,22/06/1986,1.470225873,0.698,0.698
Lair,22,Jun,1986,22/06/1986,1.470225873,0.711,0.711
HolcusAgrostis,22,Jun,1986,22/06/1986,1.470225873,0.735,0.735
WetHeath,9,Aug,1986,09/08/1986,1.60164271,NA,NA
Sphagnum,9,Aug,1986,09/08/1986,1.60164271,NA,NA
Rumex,9,Aug,1986,09/08/1986,1.60164271,NA,NA
RichAgrostisFestuca,9,Aug,1986,09/08/1986,1.60164271,NA,NA
PoorAgrostisFestuca,9,Aug,1986,09/08/1986,1.60164271,NA,NA
Plantago,9,Aug,1986,09/08/1986,1.60164271,NA,NA
NardusRacomitrium,9,Aug,1986,09/08/1986,1.60164271,NA,NA
NardusJuncus,9,Aug,1986,09/08/1986,1.60164271,NA,NA
Molinia,9,Aug,1986,09/08/1986,1.60164271,NA,NA
Luzula,9,Aug,1986,09/08/1986,1.60164271,NA,NA
Lair,9,Aug,1986,09/08/1986,1.60164271,NA,NA
HolcusPoa,9,Aug,1986,09/08/1986,1.60164271,NA,NA
Holcus,9,Aug,1986,09/08/1986,1.60164271,NA,NA
HolcusAgrostisSphagnum,9,Aug,1986,09/08/1986,1.60164271,NA,NA
HolcusAgrostis,9,Aug,1986,09/08/1986,1.60164271,NA,NA
FestucaRubra,9,Aug,1986,09/08/1986,1.60164271,NA,NA
Eriophorum,9,Aug,1986,09/08/1986,1.60164271,NA,NA
DryHeath,9,Aug,1986,09/08/1986,1.60164271,NA,NA
Cliff,9,Aug,1986,09/08/1986,1.60164271,NA,NA
AgFesMol,9,Aug,1986,09/08/1986,1.60164271,NA,NA
AgFesMol,25,Aug,1986,25/08/1986,1.645448323,0.501,0.501
Cliff,25,Aug,1986,25/08/1986,1.645448323,0.526,0.526
RichAgrostisFestuca,25,Aug,1986,25/08/1986,1.645448323,0.536,0.536
NardusJuncus,25,Aug,1986,25/08/1986,1.645448323,0.536,0.536
WetHeath,25,Aug,1986,25/08/1986,1.645448323,0.606,0.606
Molinia,25,Aug,1986,25/08/1986,1.645448323,0.613,0.613
DryHeath,25,Aug,1986,25/08/1986,1.645448323,0.62,0.62
NardusRacomitrium,25,Aug,1986,25/08/1986,1.645448323,0.629,0.629
HolcusAgrostisSphagnum,25,Aug,1986,25/08/1986,1.645448323,0.64,0.64
HolcusAgrostis,25,Aug,1986,25/08/1986,1.645448323,0.664,0.664
Plantago,25,Aug,1986,25/08/1986,1.645448323,0.667,0.667
FestucaRubra,25,Aug,1986,25/08/1986,1.645448323,0.69,0.69
PoorAgrostisFestuca,25,Aug,1986,25/08/1986,1.645448323,0.692,0.692
Holcus,25,Aug,1986,25/08/1986,1.645448323,0.731,0.731
Sphagnum,25,Aug,1986,25/08/1986,1.645448323,0.733,0.733
HolcusPoa,25,Aug,1986,25/08/1986,1.645448323,0.767,0.767
Eriophorum,25,Aug,1986,25/08/1986,1.645448323,0.768,0.768
Lair,25,Aug,1986,25/08/1986,1.645448323,0.787,0.787
Luzula,25,Aug,1986,25/08/1986,1.645448323,0.795,0.795
Rumex,25,Aug,1986,25/08/1986,1.645448323,NA,NA
AgFesMol,26,Sep,1986,26/09/1986,1.733059548,0.267,0.267
Holcus,26,Sep,1986,26/09/1986,1.733059548,0.34,0.34
Luzula,26,Sep,1986,26/09/1986,1.733059548,0.356,0.356
Rumex,26,Sep,1986,26/09/1986,1.733059548,0.374,0.374
Cliff,26,Sep,1986,26/09/1986,1.733059548,0.388,0.388
PoorAgrostisFestuca,26,Sep,1986,26/09/1986,1.733059548,0.401,0.401
HolcusAgrostis,26,Sep,1986,26/09/1986,1.733059548,0.401,0.401
HolcusPoa,26,Sep,1986,26/09/1986,1.733059548,0.404,0.404
FestucaRubra,26,Sep,1986,26/09/1986,1.733059548,0.445,0.445
Sphagnum,26,Sep,1986,26/09/1986,1.733059548,0.449,0.449
Plantago,26,Sep,1986,26/09/1986,1.733059548,0.454,0.454
NardusRacomitrium,26,Sep,1986,26/09/1986,1.733059548,0.461,0.461
Molinia,26,Sep,1986,26/09/1986,1.733059548,0.478,0.478
RichAgrostisFestuca,26,Sep,1986,26/09/1986,1.733059548,0.491,0.491
DryHeath,26,Sep,1986,26/09/1986,1.733059548,0.491,0.491
WetHeath,26,Sep,1986,26/09/1986,1.733059548,0.498,0.498
Lair,26,Sep,1986,26/09/1986,1.733059548,0.575,0.575
NardusJuncus,26,Sep,1986,26/09/1986,1.733059548,NA,NA
HolcusAgrostisSphagnum,26,Sep,1986,26/09/1986,1.733059548,NA,NA
Eriophorum,26,Sep,1986,26/09/1986,1.733059548,NA,NA
Lair,8,Feb,1987,08/02/1987,2.102669405,-0.018,NA
HolcusPoa,8,Feb,1987,08/02/1987,2.102669405,-0.015,NA
AgFesMol,8,Feb,1987,08/02/1987,2.102669405,-0.011,NA
Sphagnum,8,Feb,1987,08/02/1987,2.102669405,-0.008,NA
Rumex,8,Feb,1987,08/02/1987,2.102669405,-0.008,NA
WetHeath,8,Feb,1987,08/02/1987,2.102669405,-0.006,NA
Plantago,8,Feb,1987,08/02/1987,2.102669405,-0.006,NA
DryHeath,8,Feb,1987,08/02/1987,2.102669405,-0.006,NA
PoorAgrostisFestuca,8,Feb,1987,08/02/1987,2.102669405,-0.005,NA
Luzula,8,Feb,1987,08/02/1987,2.102669405,-0.005,NA
HolcusAgrostis,8,Feb,1987,08/02/1987,2.102669405,-0.004,NA
Cliff,8,Feb,1987,08/02/1987,2.102669405,-0.001,NA
Molinia,8,Feb,1987,08/02/1987,2.102669405,0,NA
Holcus,8,Feb,1987,08/02/1987,2.102669405,0,NA
RichAgrostisFestuca,8,Feb,1987,08/02/1987,2.102669405,0.003,NA
NardusRacomitrium,8,Feb,1987,08/02/1987,2.102669405,0.003,NA
FestucaRubra,8,Feb,1987,08/02/1987,2.102669405,0.003,NA
NardusJuncus,8,Feb,1987,08/02/1987,2.102669405,NA,NA
HolcusAgrostisSphagnum,8,Feb,1987,08/02/1987,2.102669405,NA,NA
Eriophorum,8,Feb,1987,08/02/1987,2.102669405,NA,NA
HolcusPoa,17,Feb,1987,17/02/1987,2.127310062,0.03,NA
Holcus,17,Feb,1987,17/02/1987,2.127310062,0.049,NA
WetHeath,17,Feb,1987,17/02/1987,2.127310062,NA,NA
Sphagnum,17,Feb,1987,17/02/1987,2.127310062,NA,NA
Rumex,17,Feb,1987,17/02/1987,2.127310062,NA,NA
RichAgrostisFestuca,17,Feb,1987,17/02/1987,2.127310062,NA,NA
PoorAgrostisFestuca,17,Feb,1987,17/02/1987,2.127310062,NA,NA
Plantago,17,Feb,1987,17/02/1987,2.127310062,NA,NA
NardusRacomitrium,17,Feb,1987,17/02/1987,2.127310062,NA,NA
NardusJuncus,17,Feb,1987,17/02/1987,2.127310062,NA,NA
Molinia,17,Feb,1987,17/02/1987,2.127310062,NA,NA
Luzula,17,Feb,1987,17/02/1987,2.127310062,NA,NA
Lair,17,Feb,1987,17/02/1987,2.127310062,NA,NA
