Year,WinterNAO
1950,-1.26
1951,-0.07
1952,-0.63
1953,-0.19
1954,-2.8
1955,-1.22
1956,0
1957,-3.44
1958,-1.04
1959,-3.24
1960,1.47
1961,-2.79
1962,-4.83
1963,-5.5
1964,-3.33
1965,-1.2
1966,1.53
1967,-1.21
1968,-5.34
1969,-2.1
1970,-2.93
1971,1.91
1972,1.38
1973,1.49
1974,0.85
1975,1.43
1976,-3.94
1977,-1.84
1978,-2.84
1979,-0.01
1980,0.88
1981,1.39
1982,3.79
1983,2.3
1984,-1.9
1985,2.04
1986,-0.75
1987,1.93
1988,5.63
1989,2.76
1990,1.92
1991,2.27
1992,3.24
1993,4.32
1994,5.34
1995,-2.1
1996,1.26
1997,0.19
1998,2.16
1999,4.68
2000,-1.14
2001,1.4
2002,0.16
2003,1.23
2004,0.84
2005,-0.96
2006,2.53
2007,2.04
2008,0.34
2009,-5.9
2010,-1.42
2011,5.38
2012,-1.54
2013,3.38
2014,6.42
2015,4.67
2016,2.7
2017,2.97
2018,2.72
2019,4.81
2020,-0.54
2021,3.82
2022,0.91
