Year,Month,BrAvTG,BrAvWD,BrGDDadj,BrTtRRadj,QuAvTG,QuAvWD,QuGDDadj,QuTtRRadj,SgAvTG,SgAvWD,SgGDDadj,SgTtRRadj,STAvWD,STAvTG,STTtRRadj,STGDDadj,STNSWD,STEWWD,Time
2000,9,13.21666667,3.371,246.5,118.4780145,12.02033333,3.030333333,210.61,200.2,13.02433333,3.204,240.73,203.292,11.07777778,12.665,189.7,229.95,-2.798088762,0.778887699,20.70833333
2000,10,9.840322581,4.896129032,150.05,221.8549158,9.46516129,4.472580645,138.42,230.4,10.57612903,4.749677419,172.86,230.876,15.35775862,9.556451613,363.1,141.25,-4.5071833,-1.624110435,20.79166667
2000,11,7.336,3.433,70.08,110.159,6.71,3.838,51.3,126.4,7.712,4.009666667,81.36,136.919,10.08189655,6.086666667,216.3,34.7,0.497384095,-0.77804144,20.875
2000,12,6.58516129,4.611612903,66.83,109.352,6.073225806,4.323225806,55.14,131.8,7.211612903,4.729032258,80.77,127.248,11.00972222,5.346774194,323.662963,50.2,-1.821976338,0.151796653,20.95833333
2001,1,5.933225806,3.789354839,32.97,94.467,5.427741935,3.693225806,21.29,110,6.588064516,4.123225806,50.35,110.919,9.141129032,3.95,99.4,8,-2.930150539,0.093917066,21.04166667
2001,2,5.437857143,5.091071429,39.49,68.346,4.909642857,4.915714286,31.62,94.2,5.953928571,5.004642857,47.96,74.462,14.41964286,3.973214286,153.72,21.45,-0.729483356,-0.371788406,21.125
2001,3,5.286451613,4.637741935,25.94,60.909,4.72483871,4.024516129,18.73,72.4,5.81483871,4.166774194,36.24,77.811,10.81884058,4.558064516,103.2185185,23.8,-1.839098823,0.527214639,21.20833333
2001,4,7.219333333,3.362666667,67.27,61.516,6.446333333,3.288,44.83,71,7.452333333,3.449333333,73.93,69.341,7.677083333,6.31,118.862069,43.3,0.20395774,-0.31488717,21.29166667
2001,5,10.49677419,2.576129032,170.4,40.607,9.819677419,2.689032258,149.41,51.8,10.61290323,2.76,174,47.481,8.071428572,10.2983871,62.10333333,164.25,-0.408591736,-0.898053512,21.375
2001,6,10.09233333,3.185666667,152.77,79.199,9.590666667,3.335333333,137.72,91.2,10.57633333,3.246666667,167.29,84.519,8.612745098,10.74166667,116.1,172.25,1.186108703,0.217110549,21.45833333
