VegType,LDMC,SLA,F,N
AgFesMol,338.8257844,19.50029425,7.097186971,2.565566836
DryHeath,307.1679712,16.36279008,6.247983919,2.317118154
Eriophorum,335.3880414,13.85494617,7.308184493,1.675325437
FestucaRubra,245.6432547,24.5621633,5.555821694,4.522663808
HolcusAgrostis,254.5016536,29.26697711,5.456116595,4.555643409
Holcus,267.1384002,28.14276984,5.833524421,4.21924257
HolcusPoa,235.3011178,28.67090164,5.664642727,4.962287303
Lair,247.3738811,29.14490683,5.694940377,4.982279287
Luzula,290.9870359,25.25991379,5.922252498,3.566939146
Molinia,329.8539525,20.04926071,7.203181163,2.607805232
NardusRacomitrium,367.574829,13.51426885,6.718530309,2.179599416
Plantago,193.2907144,18.47602412,6.308033455,4.221814897
PoorAgrostisFestuca,333.7086987,18.55742804,6.526784516,2.758442894
RichAgrostisFestuca,277.875712,22.30988032,5.891613567,3.346603113
Rumex,183.9917515,32.41935217,5.415698802,4.972862057
Sphagnum,341.2462313,19.30419072,6.441306542,2.848238435
WetHeath,318.0128131,15.6538548,6.821872711,1.992280547
